id_vaca;id_toro;id_cria;celulas_somaticas;produccion_leche;calidad_patas;calidad_ubres;grasa;proteinas;cs_vaca;pl_vaca;pa_vaca;u_vaca;g_vaca;pr_vaca;cs_toro;pl_toro;pa_toro;u_toro;g_toro;pr_toro
V-600;T-10;C-16;378821.0;35.78;4.41;6.61;3.67;3.31;320216.0;38.63;6.73;6.5;3.47;2.99;0.3;0.02;2.17;5.74;0.32;0.07
V-583;T-10;C-17;252531.0;10.67;2.76;7.06;4.13;3.62;203232.0;10.77;3.94;8.61;3.94;3.88;0.3;0.02;2.17;5.74;0.32;0.07
V-154;T-2;C-18;90840.0;84.4;4.35;4.62;4.45;4.0;209639.0;31.89;6.19;7.15;4.02;4.0;-0.55;1.58;3.15;1.45;0.32;0.02
V-19;T-1;C-19;458521.0;4.92;5.1;3.9;3.04;3.36;289314.0;25.76;7.4;1.01;3.25;3.15;0.63;-0.82;3.77;6.26;-0.05;0.11
V-519;T-14;C-20;244421.0;72.47;5.96;6.02;2.85;3.23;132874.0;18.07;4.08;7.24;2.93;2.92;0.71;3.14;8.11;4.35;0.13;0.13
V-647;T-2;C-21;103482.0;0.0;4.49;5.35;3.26;3.03;241807.0;0.0;5.15;8.57;2.94;2.9;-0.55;1.58;3.15;1.45;0.32;0.02
V-646;T-2;C-22;50000.0;115.16;4.26;4.84;3.34;3.04;50000.0;43.33;5.86;7.61;3.14;2.8;-0.55;1.58;3.15;1.45;0.32;0.02
V-89;T-1;C-23;79375.0;6.32;4.02;5.68;3.09;3.42;50000.0;37.93;4.16;5.39;3.42;3.52;0.63;-0.82;3.77;6.26;-0.05;0.11
V-201;T-4;C-24;136817.0;15.75;4.87;4.56;3.42;3.34;178930.0;42.01;3.23;6.09;3.16;3.21;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-73;T-4;C-25;62261.0;4.73;5.49;3.3;4.44;3.99;90526.0;13.56;2.93;4.14;3.53;3.68;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-631;T-4;C-26;81006.0;11.51;8.26;4.17;4.05;4.0;115514.0;31.24;8.74;5.16;3.86;4.0;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-528;T-7;C-27;50000.0;194.32;6.3;4.57;4.33;3.56;131757.0;87.02;6.71;5.93;3.53;3.38;-1.12;1.07;6.13;3.79;0.46;0.13
V-103;T-8;C-28;211083.0;0.0;5.51;1.67;3.24;3.38;50000.0;62.14;4.14;1.42;3.49;3.42;2.96;-1.56;7.53;1.73;0.03;0.08
V-436;T-2;C-29;52327.0;99.55;4.53;5.43;4.05;3.24;107897.0;37.55;5.33;8.82;3.72;3.42;-0.55;1.58;3.15;1.45;0.32;0.02
V-550;T-1;C-30;87352.0;6.43;4.21;5.86;3.15;3.14;50000.0;32.79;5.06;6.68;3.53;3.19;0.63;-0.82;3.77;6.26;-0.05;0.11
V-80;T-14;C-31;465125.0;11.0;4.6;6.05;3.05;3.57;284638.0;2.65;1.67;7.97;3.19;3.2;0.71;3.14;8.11;4.35;0.13;0.13
V-284;T-9;C-32;233045.0;64.46;4.06;4.26;3.67;3.94;96957.0;33.89;2.31;3.49;3.38;3.54;1.21;0.8;6.51;5.35;0.25;0.14
V-62;T-10;C-33;409800.0;28.99;4.13;6.26;3.74;3.69;318821.0;27.5;6.38;7.44;3.71;3.42;0.3;0.02;2.17;5.74;0.32;0.07
V-122;T-1;C-34;301684.0;3.15;6.2;6.26;3.62;3.56;168923.0;18.15;7.8;7.05;3.97;3.47;0.63;-0.82;3.77;6.26;-0.05;0.11
V-578;T-15;C-35;369839.0;183.78;8.83;2.01;2.97;3.95;275924.0;40.36;8.94;1.47;2.97;3.83;0.26;3.14;8.77;2.53;0.09;0.22
V-323;T-14;C-36;375057.0;60.86;5.15;3.03;4.71;3.42;238145.0;13.44;2.46;1.46;4.35;3.38;0.71;3.14;8.11;4.35;0.13;0.13
V-99;T-6;C-37;50000.0;0.0;2.38;4.69;2.93;4.0;484074.0;0.0;3.42;3.77;3.17;4.0;-1.81;3.91;1.76;5.19;0.06;0.16
V-87;T-14;C-38;245334.0;245.3;6.91;6.22;3.73;3.52;139821.0;55.16;5.9;8.91;3.28;3.13;0.71;3.14;8.11;4.35;0.13;0.13
V-410;T-8;C-39;187118.0;0.0;4.73;1.27;2.5;3.58;50000.0;12.45;1.27;1.03;2.64;3.83;2.96;-1.56;7.53;1.73;0.03;0.08
V-334;T-7;C-40;50000.0;43.9;4.43;5.26;3.73;3.39;50000.0;20.41;3.04;6.9;3.56;3.28;-1.12;1.07;6.13;3.79;0.46;0.13
V-87;T-15;C-41;183833.0;250.28;7.46;5.46;3.27;3.39;139821.0;55.16;5.9;8.91;3.28;3.13;0.26;3.14;8.77;2.53;0.09;0.22
V-519;T-6;C-42;50000.0;80.3;2.95;6.23;3.26;3.23;132874.0;18.07;4.08;7.24;2.93;2.92;-1.81;3.91;1.76;5.19;0.06;0.16
V-467;T-15;C-43;220317.0;221.84;7.52;6.12;4.32;4.0;188996.0;56.12;7.16;8.68;3.99;3.55;0.26;3.14;8.77;2.53;0.09;0.22
V-123;T-13;C-44;691012.0;0.0;3.18;4.43;3.16;4.0;312410.0;64.57;2.48;1.87;3.04;3.78;1.15;-2.01;3.84;7.61;0.12;0.4
V-564;T-14;C-45;350074.0;181.35;7.84;2.9;3.74;3.94;221090.0;48.28;6.2;1.18;3.84;3.65;0.71;3.14;8.11;4.35;0.13;0.13
V-87;T-10;C-46;177203.0;59.48;4.34;7.26;3.72;2.91;139821.0;55.16;5.9;8.91;3.28;3.13;0.3;0.02;2.17;5.74;0.32;0.07
V-75;T-11;C-47;64091.0;167.55;7.19;5.73;2.97;3.73;284226.0;36.21;6.59;2.63;2.93;3.62;-0.75;3.81;6.49;8.09;-0.02;0.07
V-479;T-15;C-48;191216.0;100.38;7.59;2.01;3.69;3.22;138903.0;23.35;5.62;1.17;3.45;2.8;0.26;3.14;8.77;2.53;0.09;0.22
V-330;T-3;C-49;186005.0;40.41;7.48;4.81;2.81;3.5;50000.0;19.04;7.38;2.2;2.67;3.14;2.74;1.31;8.27;7.23;0.26;0.13
V-18;T-12;C-50;330036.0;9.99;5.29;6.01;4.24;3.41;320180.0;26.86;2.64;6.27;3.89;3.06;0.12;-0.63;8.5;6.2;0.0;0.11
V-384;T-11;C-51;84252.0;53.41;3.94;5.28;2.87;3.52;328283.0;10.37;1.92;1.63;2.98;3.78;-0.75;3.81;6.49;8.09;-0.02;0.07
V-547;T-2;C-52;78852.0;0.0;3.82;1.39;3.76;3.23;161911.0;0.0;4.53;1.12;3.66;2.95;-0.55;1.58;3.15;1.45;0.32;0.02
V-293;T-12;C-53;246056.0;13.36;5.23;5.3;4.28;4.0;229417.0;35.5;2.53;4.39;3.96;3.85;0.12;-0.63;8.5;6.2;0.0;0.11
V-177;T-8;C-54;912334.0;0.0;5.6;4.25;3.37;4.0;232990.0;43.5;4.58;7.01;3.07;3.81;2.96;-1.56;7.53;1.73;0.03;0.08
V-654;T-11;C-55;76513.0;146.83;7.02;5.59;3.49;2.86;301070.0;32.26;7.03;3.66;3.22;3.11;-0.75;3.81;6.49;8.09;-0.02;0.07
V-247;T-12;C-56;74276.0;6.74;6.52;4.6;3.27;3.28;63668.0;19.67;5.51;2.4;3.52;3.5;0.12;-0.63;8.5;6.2;0.0;0.11
V-299;T-10;C-57;118027.0;47.37;3.69;6.02;4.86;3.51;98154.0;42.77;5.17;5.31;4.16;3.22;0.3;0.02;2.17;5.74;0.32;0.07
V-181;T-11;C-58;84995.0;96.02;6.65;5.74;3.2;3.41;339824.0;22.17;6.83;4.13;3.14;3.13;-0.75;3.81;6.49;8.09;-0.02;0.07
V-441;T-1;C-59;719563.0;0.06;5.82;5.77;3.62;3.96;441097.0;0.38;7.16;5.73;3.77;3.81;0.63;-0.82;3.77;6.26;-0.05;0.11
V-260;T-5;C-60;50000.0;93.66;3.07;7.79;3.01;3.48;204819.0;34.51;3.4;8.42;3.13;3.75;-2.31;1.68;2.5;8.56;0.15;0.03
V-41;T-3;C-61;1519356.0;84.19;7.19;7.98;3.81;3.72;379604.0;36.83;5.2;7.59;3.8;3.7;2.74;1.31;8.27;7.23;0.26;0.13
V-152;T-13;C-62;771161.0;0.0;4.96;6.98;3.41;3.74;386937.0;35.39;6.2;6.36;3.25;3.73;1.15;-2.01;3.84;7.61;0.12;0.4
V-478;T-2;C-63;205292.0;107.03;4.97;4.01;3.43;3.1;416317.0;39.27;6.34;7.12;3.21;3.0;-0.55;1.58;3.15;1.45;0.32;0.02
V-143;T-7;C-64;50000.0;92.14;4.63;2.79;4.26;3.65;69923.0;43.77;3.09;1.61;3.95;3.59;-1.12;1.07;6.13;3.79;0.46;0.13
V-473;T-4;C-65;50000.0;10.75;4.74;5.69;4.21;2.97;50000.0;26.78;2.79;8.43;3.26;3.32;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-389;T-5;C-66;50000.0;216.48;1.94;6.53;4.05;3.61;194514.0;82.65;1.09;5.6;3.68;3.39;-2.31;1.68;2.5;8.56;0.15;0.03
V-221;T-6;C-67;50000.0;0.0;4.94;4.0;3.49;3.93;114027.0;0.0;8.46;2.42;3.49;3.88;-1.81;3.91;1.76;5.19;0.06;0.16
V-652;T-8;C-68;210387.0;0.0;5.55;2.89;3.27;3.95;50000.0;37.26;4.24;4.52;3.21;3.58;2.96;-1.56;7.53;1.73;0.03;0.08
V-515;T-11;C-69;58839.0;64.64;6.09;6.36;3.44;4.0;218864.0;13.81;4.92;5.61;3.8;3.86;-0.75;3.81;6.49;8.09;-0.02;0.07
V-546;T-12;C-70;321643.0;9.64;7.36;4.16;2.81;4.0;261839.0;26.89;6.79;2.35;2.93;3.76;0.12;-0.63;8.5;6.2;0.0;0.11
V-416;T-10;C-71;270101.0;54.54;5.27;7.32;4.03;3.55;193663.0;56.56;8.68;8.37;3.49;3.8;0.3;0.02;2.17;5.74;0.32;0.07
V-639;T-10;C-72;244349.0;24.41;2.83;3.17;5.03;3.79;171834.0;21.97;3.83;1.08;4.32;3.43;0.3;0.02;2.17;5.74;0.32;0.07
V-487;T-5;C-73;50000.0;147.65;3.31;7.84;3.44;3.05;257557.0;60.98;4.59;7.56;3.06;2.97;-2.31;1.68;2.5;8.56;0.15;0.03
V-154;T-5;C-74;50000.0;86.91;4.17;7.52;4.27;4.0;209639.0;31.89;6.19;7.15;4.02;4.0;-2.31;1.68;2.5;8.56;0.15;0.03
V-542;T-2;C-75;127879.0;74.08;3.34;3.59;3.42;3.23;260314.0;28.85;3.05;5.59;2.89;3.48;-0.55;1.58;3.15;1.45;0.32;0.02
V-298;T-6;C-76;50000.0;285.73;3.49;4.21;3.44;3.83;424626.0;55.88;4.67;2.89;3.73;3.81;-1.81;3.91;1.76;5.19;0.06;0.16
V-48;T-2;C-77;99027.0;72.87;2.18;1.57;4.77;3.25;229398.0;29.35;1.64;1.77;4.21;3.39;-0.55;1.58;3.15;1.45;0.32;0.02
V-267;T-9;C-78;102732.0;48.54;6.22;6.19;2.77;3.34;50000.0;29.35;5.77;6.34;2.66;3.48;1.21;0.8;6.51;5.35;0.25;0.14
V-657;T-1;C-79;309281.0;7.01;5.69;6.9;2.99;4.0;175864.0;41.24;7.64;7.13;3.0;3.94;0.63;-0.82;3.77;6.26;-0.05;0.11
V-207;T-11;C-80;50000.0;123.14;7.18;6.03;4.69;3.02;84699.0;24.41;8.4;3.34;4.48;3.12;-0.75;3.81;6.49;8.09;-0.02;0.07
V-184;T-15;C-81;255714.0;168.24;5.22;4.62;3.92;2.9;195387.0;41.59;1.41;6.5;3.76;2.82;0.26;3.14;8.77;2.53;0.09;0.22
V-633;T-10;C-82;521063.0;65.47;3.07;4.83;3.53;3.91;424023.0;62.78;3.91;3.88;3.28;4.0;0.3;0.02;2.17;5.74;0.32;0.07
V-425;T-6;C-83;50000.0;97.26;4.83;3.97;3.52;3.25;290113.0;20.72;7.41;3.26;3.28;3.04;-1.81;3.91;1.76;5.19;0.06;0.16
V-56;T-1;C-84;244053.0;14.85;3.25;6.69;2.94;4.0;148412.0;82.1;3.1;7.52;2.95;4.0;0.63;-0.82;3.77;6.26;-0.05;0.11
V-273;T-10;C-85;219778.0;43.19;2.25;5.13;3.97;3.22;186243.0;41.29;2.42;5.08;3.75;3.41;0.3;0.02;2.17;5.74;0.32;0.07
V-261;T-15;C-86;387853.0;3.08;4.99;3.85;3.02;3.56;300825.0;0.71;1.16;5.91;2.8;3.39;0.26;3.14;8.77;2.53;0.09;0.22
V-397;T-3;C-87;706138.0;77.98;6.91;5.02;3.49;4.0;179517.0;36.13;4.88;3.51;3.27;4.0;2.74;1.31;8.27;7.23;0.26;0.13
V-363;T-12;C-88;56768.0;0.0;6.45;7.8;2.96;3.61;50000.0;0.0;4.62;8.47;3.23;3.65;0.12;-0.63;8.5;6.2;0.0;0.11
V-207;T-10;C-89;100110.0;26.63;5.28;4.12;4.67;3.44;84699.0;24.41;8.4;3.34;4.48;3.12;0.3;0.02;2.17;5.74;0.32;0.07
V-295;T-4;C-90;322082.0;14.35;4.87;5.3;3.53;3.69;467902.0;36.09;2.55;8.49;3.04;4.0;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-113;T-4;C-91;111574.0;12.82;4.07;2.39;4.28;3.69;168896.0;33.92;1.43;1.88;3.67;3.62;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-83;T-11;C-92;89170.0;0.0;5.02;5.21;3.84;3.34;329332.0;0.0;3.73;1.59;3.6;3.57;-0.75;3.81;6.49;8.09;-0.02;0.07
V-213;T-10;C-93;66261.0;28.75;5.94;7.01;3.37;3.76;54829.0;30.43;8.77;8.5;2.75;4.0;0.3;0.02;2.17;5.74;0.32;0.07
V-561;T-3;C-94;1050628.0;63.61;5.98;6.94;3.15;3.51;302220.0;29.35;3.12;7.52;3.18;3.7;2.74;1.31;8.27;7.23;0.26;0.13
V-422;T-9;C-95;496261.0;36.08;5.69;5.9;3.31;3.41;246589.0;18.35;5.0;6.29;3.23;3.49;1.21;0.8;6.51;5.35;0.25;0.14
V-184;T-10;C-96;259108.0;45.33;1.75;6.27;4.13;3.02;195387.0;41.59;1.41;6.5;3.76;2.82;0.3;0.02;2.17;5.74;0.32;0.07
V-354;T-13;C-97;639845.0;0.0;3.97;6.64;3.25;4.0;312975.0;31.84;3.97;5.73;3.21;3.82;1.15;-2.01;3.84;7.61;0.12;0.4
V-167;T-7;C-98;50000.0;89.16;6.0;3.23;4.87;3.81;177862.0;41.02;6.97;3.27;4.0;4.0;-1.12;1.07;6.13;3.79;0.46;0.13
V-262;T-1;C-99;224215.0;5.21;5.07;6.11;4.03;3.85;143691.0;27.44;6.2;6.15;4.26;3.49;0.63;-0.82;3.77;6.26;-0.05;0.11
V-300;T-14;C-100;183794.0;275.48;5.6;5.57;4.57;3.36;105143.0;65.2;2.32;7.59;4.21;3.37;0.71;3.14;8.11;4.35;0.13;0.13
V-563;T-2;C-101;50000.0;160.25;2.15;3.63;4.36;2.88;87033.0;65.49;1.32;6.26;4.3;3.17;-0.55;1.58;3.15;1.45;0.32;0.02
V-554;T-13;C-102;517503.0;0.0;3.29;6.4;4.58;3.97;255597.0;29.75;2.88;6.52;4.44;3.3;1.15;-2.01;3.84;7.61;0.12;0.4
V-130;T-4;C-103;268199.0;37.13;5.0;3.36;3.82;4.0;381802.0;98.45;2.98;3.18;3.54;4.0;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-117;T-1;C-104;400288.0;3.64;3.14;5.05;3.14;3.99;232834.0;18.89;2.65;3.14;3.1;3.83;0.63;-0.82;3.77;6.26;-0.05;0.11
V-461;T-1;C-105;398270.0;5.43;5.76;5.41;3.72;3.2;240415.0;28.42;6.71;4.1;3.86;3.14;0.63;-0.82;3.77;6.26;-0.05;0.11
V-590;T-4;C-106;92693.0;12.22;5.45;2.9;4.45;3.71;139699.0;30.16;4.38;3.28;3.97;3.44;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-276;T-1;C-107;366555.0;3.08;2.81;5.37;3.85;3.49;222320.0;18.56;2.05;4.18;4.07;3.55;0.63;-0.82;3.77;6.26;-0.05;0.11
V-658;T-15;C-108;567111.0;87.11;6.16;4.44;4.03;3.51;497552.0;21.22;4.42;7.34;3.87;3.48;0.26;3.14;8.77;2.53;0.09;0.22
V-51;T-7;C-109;50000.0;35.46;5.69;5.18;4.11;3.96;310241.0;18.38;4.44;6.4;3.45;3.98;-1.12;1.07;6.13;3.79;0.46;0.13
V-373;T-7;C-110;50000.0;120.78;4.62;2.79;3.69;3.42;50000.0;54.77;3.78;1.59;3.18;3.16;-1.12;1.07;6.13;3.79;0.46;0.13
V-476;T-13;C-111;1055384.0;0.0;4.91;6.96;4.17;3.96;452879.0;6.76;5.82;6.74;3.96;3.87;1.15;-2.01;3.84;7.61;0.12;0.4
V-10;T-13;C-112;273651.0;0.0;3.3;5.53;3.8;3.62;125227.0;30.01;2.47;2.58;3.59;3.53;1.15;-2.01;3.84;7.61;0.12;0.4
V-623;T-13;C-113;751036.0;0.0;5.77;7.99;3.96;4.0;341926.0;25.69;7.88;7.35;3.76;3.48;1.15;-2.01;3.84;7.61;0.12;0.4
V-452;T-9;C-114;301603.0;38.39;4.11;4.8;4.2;2.8;143805.0;20.3;2.6;4.28;4.04;2.8;1.21;0.8;6.51;5.35;0.25;0.14
V-237;T-13;C-115;106654.0;0.0;2.69;8.39;3.72;3.65;50000.0;12.85;1.96;8.93;3.82;3.44;1.15;-2.01;3.84;7.61;0.12;0.4
V-260;T-13;C-116;458629.0;0.0;3.52;8.12;3.36;4.0;204819.0;34.51;3.4;8.42;3.13;3.75;1.15;-2.01;3.84;7.61;0.12;0.4
V-558;T-10;C-117;376115.0;40.23;3.47;5.78;3.53;3.33;286829.0;43.49;5.39;5.04;3.47;3.39;0.3;0.02;2.17;5.74;0.32;0.07
V-609;T-5;C-118;50000.0;125.59;3.08;6.55;2.82;3.43;242987.0;45.66;3.16;4.61;2.96;3.37;-2.31;1.68;2.5;8.56;0.15;0.03
V-308;T-15;C-119;64743.0;101.13;6.93;3.64;3.03;4.0;50000.0;26.09;5.93;4.15;3.12;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-465;T-11;C-120;50000.0;0.0;4.98;6.51;3.83;3.98;50000.0;0.0;4.4;5.88;3.57;3.71;-0.75;3.81;6.49;8.09;-0.02;0.07
V-235;T-13;C-121;118322.0;0.0;4.01;5.29;4.65;3.5;56376.0;0.0;5.02;2.07;4.14;2.88;1.15;-2.01;3.84;7.61;0.12;0.4
V-284;T-9;C-122;210309.0;56.06;4.02;4.09;3.55;3.37;96957.0;33.89;2.31;3.49;3.38;3.54;1.21;0.8;6.51;5.35;0.25;0.14
V-212;T-9;C-123;491047.0;0.0;5.82;3.55;3.51;4.0;228438.0;0.0;4.85;2.25;3.18;3.94;1.21;0.8;6.51;5.35;0.25;0.14
V-123;T-3;C-124;1066879.0;137.6;5.03;4.63;3.56;4.0;312410.0;64.57;2.48;1.87;3.04;3.78;2.74;1.31;8.27;7.23;0.26;0.13
V-643;T-12;C-125;54762.0;23.31;5.32;4.03;2.89;3.6;50000.0;61.71;1.45;1.72;3.08;3.68;0.12;-0.63;8.5;6.2;0.0;0.11
V-156;T-15;C-126;334265.0;309.25;6.9;1.89;3.61;3.43;259024.0;75.38;5.72;1.1;3.2;2.98;0.26;3.14;8.77;2.53;0.09;0.22
V-167;T-15;C-127;209945.0;155.13;8.6;2.64;3.95;4.0;177862.0;41.02;6.97;3.27;4.0;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-582;T-15;C-128;65770.0;139.67;6.15;3.61;2.78;4.0;54553.0;32.81;3.45;4.66;2.79;3.64;0.26;3.14;8.77;2.53;0.09;0.22
V-261;T-9;C-129;713165.0;1.27;3.61;5.33;3.22;3.42;300825.0;0.71;1.16;5.91;2.8;3.39;1.21;0.8;6.51;5.35;0.25;0.14
V-333;T-10;C-130;751476.0;28.98;5.1;6.23;4.32;3.96;530707.0;28.54;7.31;7.7;4.41;3.79;0.3;0.02;2.17;5.74;0.32;0.07
V-202;T-3;C-131;246931.0;0.0;6.8;5.16;4.04;4.0;63793.0;0.0;5.42;3.26;3.52;3.87;2.74;1.31;8.27;7.23;0.26;0.13
V-290;T-10;C-132;349437.0;52.95;5.17;5.32;3.96;4.0;249650.0;50.56;7.43;4.55;3.57;3.72;0.3;0.02;2.17;5.74;0.32;0.07
V-646;T-3;C-133;187123.0;108.48;7.72;7.62;3.06;2.8;50000.0;43.33;5.86;7.61;3.14;2.8;2.74;1.31;8.27;7.23;0.26;0.13
V-147;T-10;C-134;462479.0;17.55;1.85;4.6;4.04;3.58;335548.0;15.66;1.81;3.38;3.48;3.28;0.3;0.02;2.17;5.74;0.32;0.07
V-534;T-9;C-135;1266589.0;58.28;7.34;5.52;4.16;2.93;616509.0;32.99;7.48;6.53;3.6;2.8;1.21;0.8;6.51;5.35;0.25;0.14
V-658;T-7;C-136;50000.0;46.74;5.0;5.49;3.94;3.79;497552.0;21.22;4.42;7.34;3.87;3.48;-1.12;1.07;6.13;3.79;0.46;0.13
V-36;T-15;C-137;691819.0;271.36;8.29;2.12;3.43;4.0;520488.0;70.41;8.84;1.91;3.37;3.76;0.26;3.14;8.77;2.53;0.09;0.22
V-13;T-14;C-138;292563.0;142.42;6.24;6.53;3.32;3.44;171460.0;33.68;4.58;8.29;3.5;3.39;0.71;3.14;8.11;4.35;0.13;0.13
V-354;T-15;C-139;391871.0;131.65;6.37;4.37;3.31;3.99;312975.0;31.84;3.97;5.73;3.21;3.82;0.26;3.14;8.77;2.53;0.09;0.22
V-379;T-1;C-140;318149.0;5.2;2.67;5.09;3.08;3.77;189067.0;29.62;1.12;4.79;2.99;3.76;0.63;-0.82;3.77;6.26;-0.05;0.11
V-322;T-14;C-141;413211.0;95.61;4.61;5.04;3.64;3.67;267552.0;22.72;1.88;6.84;3.26;3.56;0.71;3.14;8.11;4.35;0.13;0.13
V-292;T-12;C-142;285354.0;9.05;8.35;7.31;2.84;3.73;256359.0;27.04;7.48;8.26;2.99;3.86;0.12;-0.63;8.5;6.2;0.0;0.11
V-385;T-7;C-143;50000.0;6.84;3.77;4.57;4.08;3.12;50000.0;3.22;1.6;5.55;3.83;3.22;-1.12;1.07;6.13;3.79;0.46;0.13
V-239;T-6;C-144;50000.0;120.12;2.66;5.33;3.47;3.45;640892.0;22.28;3.14;5.77;3.71;3.53;-1.81;3.91;1.76;5.19;0.06;0.16
V-634;T-14;C-145;1041732.0;150.07;6.95;5.77;4.45;3.24;617144.0;34.38;4.59;7.18;4.31;3.37;0.71;3.14;8.11;4.35;0.13;0.13
V-145;T-6;C-146;50000.0;274.13;3.68;6.28;2.72;3.37;376724.0;59.23;6.24;7.56;2.86;3.56;-1.81;3.91;1.76;5.19;0.06;0.16
V-342;T-11;C-147;51833.0;312.51;4.46;6.33;4.36;3.08;192547.0;71.84;2.98;4.81;4.05;3.21;-0.75;3.81;6.49;8.09;-0.02;0.07
V-17;T-13;C-148;577783.0;0.0;4.84;6.35;3.01;3.89;252704.0;60.58;5.07;5.88;3.03;3.74;1.15;-2.01;3.84;7.61;0.12;0.4
V-37;T-5;C-149;50000.0;101.23;2.64;9.0;3.01;3.59;351755.0;39.06;2.39;8.88;3.05;3.76;-2.31;1.68;2.5;8.56;0.15;0.03
V-583;T-8;C-150;864410.0;0.0;5.44;5.16;4.07;4.0;203232.0;10.77;3.94;8.61;3.94;3.88;2.96;-1.56;7.53;1.73;0.03;0.08
V-99;T-9;C-151;1036121.0;0.0;4.84;4.96;3.36;4.0;484074.0;0.0;3.42;3.77;3.17;4.0;1.21;0.8;6.51;5.35;0.25;0.14
V-315;T-8;C-152;215648.0;0.0;5.38;5.17;2.75;3.27;50000.0;0.0;3.32;8.28;2.57;3.04;2.96;-1.56;7.53;1.73;0.03;0.08
V-471;T-14;C-153;239477.0;139.84;5.26;3.17;3.4;4.0;142106.0;31.21;1.53;1.72;3.49;4.0;0.71;3.14;8.11;4.35;0.13;0.13
V-482;T-14;C-154;89689.0;218.02;6.34;5.51;3.6;3.71;50000.0;58.05;4.07;6.82;3.41;3.31;0.71;3.14;8.11;4.35;0.13;0.13
V-578;T-10;C-155;357608.0;39.22;5.12;3.39;3.07;4.0;275924.0;40.36;8.94;1.47;2.97;3.83;0.3;0.02;2.17;5.74;0.32;0.07
V-461;T-13;C-156;493910.0;0.0;5.46;5.43;3.93;3.49;240415.0;28.42;6.71;4.1;3.86;3.14;1.15;-2.01;3.84;7.61;0.12;0.4
V-500;T-7;C-157;50000.0;79.57;5.02;3.26;3.35;3.9;160779.0;41.9;3.14;2.92;3.18;4.0;-1.12;1.07;6.13;3.79;0.46;0.13
V-499;T-5;C-158;50000.0;47.48;3.08;5.43;2.99;3.27;292949.0;19.04;3.69;1.5;2.98;3.37;-2.31;1.68;2.5;8.56;0.15;0.03
